route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BX22,GH_A5-Weekday,GH_A5-Weekday-135300_BX22_429,CASTLE HILL ZEREGA AV,1,36466982,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-057900_BX22_421,BEDFORD PARK PAUL AV-205 ST,0,36466961,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-059100_BX22_407,FORDHAM CENTER VALENTINE AV,0,36466965,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-106500_BX22_433,CASTLE HILL ZEREGA AV,1,36466965,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-060300_BX22_419,BEDFORD PARK PAUL AV-205 ST,0,36466978,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-104900_BX22_413,CASTLE HILL ZEREGA AV,1,36466968,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-061500_BX22_420,FORDHAM CENTER VALENTINE AV,0,36466979,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-062700_BX22_402,BEDFORD PARK PAUL AV-205 ST,0,36466964,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-063900_BX22_413,FORDHAM CENTER VALENTINE AV,0,36466972,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-065100_BX22_410,BEDFORD PARK PAUL AV-205 ST,0,36466969,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-066300_BX22_415,FORDHAM CENTER VALENTINE AV,0,36466974,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-067500_BX22_404,BEDFORD PARK PAUL AV-205 ST,0,36466968,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-068700_BX22_414,FORDHAM CENTER VALENTINE AV,0,36466973,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-069900_BX22_411,BEDFORD PARK PAUL AV-205 ST,0,36466970,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-071100_BX22_403,FORDHAM CENTER VALENTINE AV,0,36466965,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-072300_BX22_421,BEDFORD PARK PAUL AV-205 ST,0,36466961,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-073500_BX22_412,FORDHAM CENTER VALENTINE AV,0,36466979,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-074700_BX22_419,BEDFORD PARK PAUL AV-205 ST,0,36466978,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-075900_BX22_405,FORDHAM CENTER VALENTINE AV,0,36466972,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-077100_BX22_402,BEDFORD PARK PAUL AV-205 ST,0,36466964,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-078300_BX22_406,FORDHAM CENTER VALENTINE AV,0,36466974,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-079500_BX22_408,BEDFORD PARK PAUL AV-205 ST,0,36466969,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-080600_BX22_409,FORDHAM CENTER VALENTINE AV,0,36466973,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-081600_BX22_404,BEDFORD PARK PAUL AV-205 ST,0,36466968,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-082500_BX22_424,FORDHAM CENTER VALENTINE AV,0,36466980,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-083200_BX22_419,BEDFORD PARK PAUL AV-205 ST,0,36466965,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-084200_BX22_410,FORDHAM CENTER VALENTINE AV,0,36466970,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-085000_BX22_428,BEDFORD PARK PAUL AV-205 ST,0,36466982,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-085800_BX22_426,FORDHAM CENTER VALENTINE AV,0,36466979,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-086700_BX22_407,BEDFORD PARK PAUL AV-205 ST,0,36466961,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-087500_BX22_416,FORDHAM CENTER VALENTINE AV,0,36466983,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-088300_BX22_420,BEDFORD PARK PAUL AV-205 ST,0,36466972,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-089100_BX22_411,FORDHAM CENTER VALENTINE AV,0,36466978,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-089800_BX22_421,BEDFORD PARK PAUL AV-205 ST,0,36466985,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-090600_BX22_414,FORDHAM CENTER VALENTINE AV,0,36466974,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-091300_BX22_425,BEDFORD PARK PAUL AV-205 ST,0,36466964,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-092100_BX22_432,FORDHAM CENTER VALENTINE AV,0,36466986,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-092800_BX22_431,BEDFORD PARK PAUL AV-205 ST,0,36466973,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-093600_BX22_408,FORDHAM CENTER VALENTINE AV,0,36466987,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-094300_BX22_423,BEDFORD PARK PAUL AV-205 ST,0,36466981,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-095100_BX22_434,FORDHAM CENTER VALENTINE AV,0,36466989,BX220031
